#x,y,i
5.2E-5,2.6E-5,1.0361993714131821E-9
5.2E-5,3.4E-5,1.0385835816018766E-9
5.2E-5,4.2E-5,1.0412653094290812E-9
5.2E-5,4.9999999999999996E-5,1.0445622091014119E-9
5.2E-5,5.8E-5,1.0498192099293015E-9
5.2E-5,6.599999999999999E-5,1.0586620959494752E-9
5.2E-5,7.4E-5,1.080540313856827E-9
5.2E-5,8.2E-5,1.1261370133061234E-9
5.2E-5,8.999999999999999E-5,1.162949203413299E-9
5.2E-5,9.8E-5,1.1435704853504113E-9
5.2E-5,1.06E-4,1.1043440115166168E-9
5.2E-5,1.1399999999999999E-4,1.0748855262308915E-9
5.2E-5,1.22E-4,1.0573443034708756E-9
5.2E-5,1.3E-4,1.047035123139395E-9
5.2E-5,1.38E-4,1.0411064627615022E-9
5.9999999999999995E-5,2.6E-5,1.0394177357522642E-9
5.9999999999999995E-5,3.4E-5,1.0426345446017754E-9
5.9999999999999995E-5,4.2E-5,1.0464464261443458E-9
5.9999999999999995E-5,4.9999999999999996E-5,1.0516132812013555E-9
5.9999999999999995E-5,5.8E-5,1.060471257700986E-9
5.9999999999999995E-5,6.599999999999999E-5,1.0813123267945789E-9
5.9999999999999995E-5,7.4E-5,1.1577325955122793E-9
5.9999999999999995E-5,8.2E-5,1.4257517650609316E-9
5.9999999999999995E-5,8.999999999999999E-5,1.6254366526779125E-9
5.9999999999999995E-5,9.8E-5,1.5351464350399954E-9
5.9999999999999995E-5,1.06E-4,1.3320294039468456E-9
5.9999999999999995E-5,1.1399999999999999E-4,1.1587592096532902E-9
5.9999999999999995E-5,1.22E-4,1.082650874198861E-9
5.9999999999999995E-5,1.3E-4,1.0562782311726542E-9
5.9999999999999995E-5,1.38E-4,1.0454061148922965E-9
6.8E-5,2.6E-5,1.0441739246558872E-9
6.8E-5,3.4E-5,1.0498314580524719E-9
6.8E-5,4.2E-5,1.0563076823122366E-9
6.8E-5,4.9999999999999996E-5,1.065418556915605E-9
6.8E-5,5.8E-5,1.0827287352296802E-9
6.8E-5,6.599999999999999E-5,1.1233005805360254E-9
6.8E-5,7.4E-5,1.2993966048081972E-9
6.8E-5,8.2E-5,1.7929471847739796E-9
6.8E-5,8.999999999999999E-5,1.973311133735743E-9
6.8E-5,9.8E-5,1.957347057894772E-9
6.8E-5,1.06E-4,1.8323175950872207E-9
6.8E-5,1.1399999999999999E-4,1.4554895870034976E-9
6.8E-5,1.22E-4,1.1452543691501306E-9
6.8E-5,1.3E-4,1.0700629265805676E-9
6.8E-5,1.38E-4,1.0506258355916309E-9
7.599999999999999E-5,2.6E-5,1.0533709678001355E-9
7.599999999999999E-5,3.4E-5,1.06717451300935E-9
7.599999999999999E-5,4.2E-5,1.0838679165089783E-9
7.599999999999999E-5,4.9999999999999996E-5,1.1011784484050711E-9
7.599999999999999E-5,5.8E-5,1.1234497422290782E-9
7.599999999999999E-5,6.599999999999999E-5,1.1794478463679412E-9
7.599999999999999E-5,7.4E-5,1.4406522006050254E-9
7.599999999999999E-5,8.2E-5,1.9145338829681738E-9
7.599999999999999E-5,8.999999999999999E-5,1.988247623008329E-9
7.599999999999999E-5,9.8E-5,1.9885716785257622E-9
7.599999999999999E-5,1.06E-4,1.9774611798114928E-9
7.599999999999999E-5,1.1399999999999999E-4,1.7144435692836603E-9
7.599999999999999E-5,1.22E-4,1.2324313140986525E-9
7.599999999999999E-5,1.3E-4,1.0894182055238792E-9
7.599999999999999E-5,1.38E-4,1.056741649513946E-9
8.4E-5,2.6E-5,1.0743559832338674E-9
8.4E-5,3.4E-5,1.1355123252670375E-9
8.4E-5,4.2E-5,1.2159095138524929E-9
8.4E-5,4.9999999999999996E-5,1.2175020559393446E-9
8.4E-5,5.8E-5,1.2081182552933248E-9
8.4E-5,6.599999999999999E-5,1.2969219073111983E-9
8.4E-5,7.4E-5,1.6633878968222644E-9
8.4E-5,8.2E-5,1.9691390731776494E-9
8.4E-5,8.999999999999999E-5,1.9889333194040945E-9
8.4E-5,9.8E-5,1.9849661289720477E-9
8.4E-5,1.06E-4,1.917383820835592E-9
8.4E-5,1.1399999999999999E-4,1.6361345188662475E-9
8.4E-5,1.22E-4,1.2928572959513953E-9
8.4E-5,1.3E-4,1.1205350412438391E-9
8.4E-5,1.38E-4,1.0648591018783968E-9
9.2E-5,2.6E-5,1.1201747606553746E-9
9.2E-5,3.4E-5,1.3865247410044941E-9
9.2E-5,4.2E-5,1.6951801022049872E-9
9.2E-5,4.9999999999999996E-5,1.6448363865473412E-9
9.2E-5,5.8E-5,1.5245712405840093E-9
9.2E-5,6.599999999999999E-5,1.6589454927438775E-9
9.2E-5,7.4E-5,1.932366536823659E-9
9.2E-5,8.2E-5,1.987900278544689E-9
9.2E-5,8.999999999999999E-5,1.9848357893027976E-9
9.2E-5,9.8E-5,1.8981548754853044E-9
9.2E-5,1.06E-4,1.6884441774347235E-9
9.2E-5,1.1399999999999999E-4,1.5242814683227167E-9
9.2E-5,1.22E-4,1.3610265395232955E-9
9.2E-5,1.3E-4,1.169399844967146E-9
9.2E-5,1.38E-4,1.076687688670181E-9
9.999999999999999E-5,2.6E-5,1.1813378227696617E-9
9.999999999999999E-5,3.4E-5,1.6507436290774352E-9
9.999999999999999E-5,4.2E-5,1.969524090866813E-9
9.999999999999999E-5,4.9999999999999996E-5,1.972280079141249E-9
9.999999999999999E-5,5.8E-5,1.9445291270809977E-9
9.999999999999999E-5,6.599999999999999E-5,1.9653548123783537E-9
